dataset,sample_id,source,reference,summary,system_id,human_scores_consistency,human_scores_relevance,human_scores_fluency,human_scores_coherence,sample_index,original_index
dialsummeval,13862773,| Randolph: Honey | Randolph: Are you still in the pharmacy? | Maya: Yes | Randolph: Buy me some earplugs please | Maya: How many pairs? | Randolph: 4 or 5 packs | Maya: I'll get you 5 | Randolph: Thanks darling,,Maya will buy 5 pairs of earplugs for Randolph .,H,4.666666666666667,4.0,4.666666666666667,4.666666666666667,1,1309
dialsummeval,13682408,| Jenkin: hey what is your spirit animal? | Sophie: what? | Jenkin: go on? | Sophie: I dont know a fox lol | Jenkin: are you wiley?🦊 | Sophie: sometimes | Jenkin: I am a dolphin🐬 | Sophie: I think you are a bit mad like the mad hatter🐰🎩 | Jenkin: I have been reading about animal spirits its quite good | Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you? | Jenkin: There is a pack of cards and you choose the one that you are drawn to  | Sophie: oh right I would choose the Fox | Jenkin: well I didn't know but I was drawn to the dolphin | Sophie: oh | Jenkin: I will bring them over tomorrow | Sophie: oh yes please that will be great 🦊🦊,,Jen wants to know what Sophie is. Sophie will buy a picture of it tomorrow.,E,2.0,3.0,4.0,3.6666666666666665,2,228
dialsummeval,13680391,"| Kirsten: Youth group this Friday, don't be late. | Alex: What time? | Kirsten: 7 pm. We're going bowling, so we'll meet up and then all go together. | Alex: Cool. See you. | Kirsten: Bye",,Kirsten and Alex are going bowling this Friday at 7 pm.,J,3.3333333333333335,3.3333333333333335,4.333333333333333,4.666666666666667,3,51
dialsummeval,13729407,"| Monica: How are you doing? | Gaia: I'm fine, mum. | Monica: All good at the university? | Gaia: A lot of work, but all good. | Monica: I guess you'll have a lot of exams this term | Gaia: 6 | Gaia: But only one is really hard",,Gaia has a lot of work .,D,3.0,3.0,4.666666666666667,5.0,4,563
dialsummeval,13729076,"| Mazie: Me and mah girls are having a drink tonight. | Lee: Oh really? Where? | Mazie: Wouldn't you like to know... | Lee: Yes! So I can stay away! | Mazie: That's cold. | Lee: True, can't stand some of your friends. | Mazie: OIC...who? | Lee: Sheryl for one. She's a b-word that rhymes with witch. | Mazie: You just saw her on a bad day. | Lee: Don't think so! | Mazie: You did spill a drink on her. | Lee: Well... | Mazie:  You did! | Lee: I said sorry! | Mazie: LOL",,Mazie and her girls are having a drink tonight . Lee can't stand Sheryl .,L,3.6666666666666665,3.6666666666666665,4.666666666666667,4.333333333333333,5,501
dialsummeval,13728763,"| David: Hi victor how are you? | Victor: i am fine thanks, what about you? | David: very well thanks, i heard you have taken over Chris's company? is that true? | Victor: Yes he was under huge debt, but he is still working as Director | David: That is good, your running company at its old premises? | Victor: No i sold off the office and accommodated them in my office, you know there is a lot of free space. | David: yes i know. thats good to hear i was worried about Chris but really appreciate what you are doing. | Victor: he was not willing to get help so i thought to do it this way.. and he can own it back anytime he wants | David: God bless you | Victor: Thanks, hows your business? | David: its good but not too much work these days.. | Victor: yes market is very slow.. | David: yes expecting it to get better by the end of the year. | Victor: really? we can hope for the best | David: yes.",,Victor took over Chris's company. Chris was under huge debt. Victor sold off the office and accommodated them in his office. Chris can own the company anytime he wants. David's business is doing well.,J,4.666666666666667,4.0,4.666666666666667,4.333333333333333,6,457
dialsummeval,13716025,"| Josh: Stephen, I think you've accidentaly taken my notebook home | Stephen: wait lemme check | Stephen: nope, I don't see it anywhere | Jack: oh shit, I've got it xDDD I don't even know why | Josh: xDDD ok, no problem, cool I know where it is | Jack: I'll bring it tomorow",,Jack took Josh's notebook. Jack will bring it tomorrow.,F,4.0,4.0,4.666666666666667,3.6666666666666665,7,285
dialsummeval,13681516,"| Zoe: <file_video> | Frank: Love you! | Zoe: :-* | Frank: Have a good day, babe :-*",,Zoe sends Frank a video.,N,4.0,3.6666666666666665,5.0,5.0,8,209
dialsummeval,13863035,"| Adam: hi Mum! | Hannah: Hello, ready for your flight? | Adam: yes, just finished packing | Adam: can you remind Dad that the plane was rescheduled and will arrive one hour later? | Adam: there's no point for him to wait that long at the airport | Hannah: Sure, I will. | Hannah: Do you want anything special for dinner tomorrow? | Adam: nah, I'm fine with anything you'll prepare | Adam: especially if you compare it to what I'm eating on a daily basis :) | Hannah: Alright. | Hannah: Can't wait to see you! | Adam: I'll be there in less than 24 hours :) | Adam: I'm sure you can wait | Hannah: It's been half a year since your last visit, so don't be surprised! | Adam: I'm not | Adam: I miss you all as well | Adam: see you tomorrow! | Hannah: Bye! Have a safe flight!",,Adam has just finished packing for his flight. He will be at the airport one hour later. Hannah will prepare something for dinner for Adam.,N,3.3333333333333335,3.6666666666666665,4.333333333333333,4.0,9,1385
dialsummeval,13828274,"| Tricia: The cake is still not ready. | Zandra: Which cake? | Tricia: For your daughter’s birthday, Tam ;) | Zandra: Oh, of course, there are so many of them, I don’t even know what’s going on. | Tricia: Sure thing, you need a hand ;] | Zandra: Thank you so much, what would I do without you… | Zandra: But what about the cake, the party is tomorrow! | Tricia: You finally realized that… ;) | Tricia: They promised to have it tomorrow at Tricia: Zandra: . | Zandra: The party starts at Tricia: , it’s way too late! | Tricia: I’ll send Erwin to get it, he’ll deliver it to us by bike ;D | Zandra: Bike… God save us all… | Tricia: He’s a good driver and has a special bag, it will be ok, I promise :* | Zandra: Ok, how about the rest? I have all decorations, starting with them in the morning after kids go to grandma | Zandra: I know nothing about the food and outside attractions | Tricia: Food I’m taking care of, outside thing will be done by a company, they come and organize everything, don’t worry | Zandra: You’re the best, I have to make for it <3 | Tricia: Nooo, no way, it’s nothing. | Tricia: I know it’s not easy for you with 4 children. | Zandra: Noo, it’s not, but I regret nothing :* | Tricia: And that’s the most important thing!",,Zandra's daughter's birthday party is tomorrow. The cake is still not ready. Tricia will send Erwin to get it by bike. Zandra will take care of the decorations in the morning. The food and outside attractions will be organized by a company.,K,4.333333333333333,4.0,4.333333333333333,3.6666666666666665,10,1116
