dataset,sample_id,source,reference,summary,system_id,human_scores_consistency,human_scores_relevance,human_scores_fluency,human_scores_coherence,baseline_scores_rouge_1_f,baseline_scores_rouge_2_f,baseline_scores_rouge_l_f,baseline_scores_rouge_we_1_f,baseline_scores_rouge_we_2_f,baseline_scores_rouge_we_3_f,baseline_scores_bert_score_f1,baseline_scores_bleu,baseline_scores_meteor,baseline_scores_chrf,baseline_scores_mover_score,baseline_scores_cider,baseline_scores_s3_pyr,baseline_scores_s3_resp,baseline_scores_sms,sample_index,original_index
summeval,dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,"A teenager from Illinois is tackling her disability head-on and attempting to positively influence thousands of others by dancing. Dayna Dobias, 19, from Downers Grove was born with cerebral palsy, but she hopes to inspire others with her enthusiastic videos. 'I've gotten bullied because of it and I get people all the time, staring and so it's definitely made things difficult in my life,' Dayna told Daily Mail Online. Scroll down for video Challenging: Dayna Dobias, 18, is hoping change the way people with disabilities are represented by the television, film and the fashion industry Her hope is that the video not only entertains, but inspires others to think before judging. The teenager says her motivation for creating the video was to counteract stereotypes held by people over certain disabilities. 'People tend to think that because I have cerebral palsy I cannot do anything and that I am so different from everyone else, when in reality I am pretty much just the same as everyone else,' she added. 'I might do things a little bit differently than most people, but that doesn't mean that I should be treated differently.' This is one of several videos that Dayna has created. Last year the teenager produced another dancing clip with her strutting her stuff to Taylor Swift's Shake It Off. Inspirational: The Illinois teen who suffers from cerebal palsy has created a video in which she dances Don't judge: People tend to think that because I have cerebral palsy I cannot do anything and that I am so different from everyone else, when in reality I am pretty much just the same as everyone else,' Dayna says 'People like to define me based on disability. People just look at me and think, oh that's just the girl with cerebral palsy,' she said. 'I would like people to look past that and be like, oh she's just one of us.' Dayna says she wanted to turn any negativity that might be held over her disability into something positive and hopefully inspire others, or at the very least raise a smile. 'When I was first diagnosed with cerebral palsy, doctors warned my parents that I may never walk, but here I am dancing! I drive, I go to college, I do things like every other 19-year-old,' she says. The teen has now begun to do some motivational speaking at a couple of local schools. Confident: Dayna has now taken up motivational speaking and has visited several schools in the Chicago area","Dayna Dobias, 19, has created a video in which she dances despite having a disability that makes it difficult for her to walk. She loves TV, film and fashion, and says she’s not happy with how people with disabilities are represented. The teen has created several videos during the past year aimed at changing stereotypes.","dayna dobias , 19 , from downers , illinois , was born with cerebral palsy . she hopes to inspire others with her enthusiastic videos . she says her motivation for creating the video was to highlight stereotypes of people over certain disability . she has created a video in which she dances do n't judge : people tend to think that because i have cerebral palsy i can not do anything and that i am so different from everyone else , when in reality i am pretty much just the same as everyone else ' .",M11,5.0,3.3333333333333335,4.0,3.0,0.31345,0.06281,0.25737,0.30880230880230874,0.10997067448680352,0.06557377049180328,0.4313129186630249,24.020325996742123,0.2646142651954684,0.46033004674854955,0.24410187251923754,4.958457363434597e-05,0.37454224403131997,0.45657539575392514,0.12080416465768365,1,1309
summeval,dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,"Arsenal manager Arsene Wenger does not know the exact reason Alexis Sanchez chose the Emirates Stadium over Anfield - but he is glad the Chile forward will be lining up for his side rather than against them for Liverpool on Saturday. Sanchez had his selection of clubs once Barcelona had decided to let him leave, and following the World Cup, the 26-year-old was convinced to continue his career under Wenger's expert guidance, going on to make an instant impression in English football. The French coach, however, admits the possibility Liverpool could use their interest in Sanchez as leverage during negotiations over Luis Suarez's move to the Nou Camp last summer was always on the cards. Alexis Sanchez was courted by a number of elite clubs last summer but eventually chose Arsenal Sanchez has made an instant impact in English football and has scored 19 goals so far this season Arsenal boss Arsene Wenger (right) is delighted that Sanchez decided to join the north London club 'At the end of the day, only Sanchez can explain to you why he has chosen us. I don't know why he did that, but we are happy that he made that decision,' said Wenger of the £32million Chile forward, who has netted 19 goals so far. 'I was (aware of Liverpool's interest), but you never know if it is really true, but I thought it could be because of the interest in Suarez (from Barcelona). 'In the negotiations, yes, it is a strength - and it makes sense, an exchange and some money for Liverpool.' Wenger believes the way Sanchez has adapted so quickly to a change in environment proves he is one of the best around. 'If you look at the qualities, efficiency, work-rate, fighting spirit - (he is at the) top,' the Arsenal boss added. 'When it (the game) becomes flat, he can revitalise the strengths and dynamics of the team and the supporters.' Ahead of the key Barclays Premier League clash, Wenger was keen to play down any talk of a potential summer transfer move for Liverpool forward Raheem Sterling, who has so far rejected a new contract offer. Despite the Reds having lost to Manchester United before the international break to dent hopes of another top-four finish, Wenger has been impressed by the way Brendan Rodgers has developed his team following the sale of Suarez and injury to striker Daniel Sturridge. 'He has done very well. I think he found a solution at the right time,' the Arsenal manager said. 'They did well last season too, they scored over 100 goals in the Premier League, which is absolutely fantastic.' Wenger has moved to play down speculation linking him with Liverpool winger Raheem Sterling","Alexis Sanchez had offers from several clubs when he left Barcelona last summer, including Arsenal and Liverpool. He chose to join Arsenal in a decision that delighted boss Arsene Wenger. Sanchez has made an instant impact in English football and has scored 19 goals for the Gunners so far this season. Arsenal face Liverpool in the Premier League on Saturday as the two sides compete for a top-four finish.",alexis sanchez joined arsenal for £32million from barcelona last summer . the chile forward was also linked with liverpool and manchester city . arsene wenger believes sanchez is one of the best in the world . arsenal host liverpool at the emirates stadium on saturday .,M17,5.0,5.0,5.0,4.0,0.28356,0.06601,0.27068,0.2921589688506982,0.14961496149614964,0.12401352874859076,0.3948422968387604,12.354581011078027,0.23124818710537792,0.34765191703490034,0.29624874855030037,0.18418417918025842,0.21266912646784686,0.3666780110278638,0.08192727441045267,2,228
summeval,dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,"This is the embarrassing moment a Buckingham Palace guard slipped and fell on a manhole cover in front of hundreds of shocked tourists as he took up position in his sentry box. The Queen's Guard was left red-faced after he slipped on a manhole cover during the popular Changing of the Guard - and unfortunately for him the entire incident was caught on camera. He lost his footing and slid sideways, knocking his bearskin on the side of the box and dropping his rifle. The Queen's Guard (pictured) slipped on a manhole cover during the popular Changing of the Guard at Buckingham Palace last week. Unfortunately for him, the entire incident was caught on a tourist's camera The embarrassed soldier quickly scrambled to his feet as his colleagues marched past as if nothing had happened. But the young guard started to blush as he peered at the crowd from under his bearskin and realised how many people had seen his slapstick moment. Holidaymaker David Meadwell recorded the unscheduled manouevre outside Buckingham Palace on Thursday afternoon. Mr Meadwell, 50, from Newcastle-upon-Tyne, said: 'I was with my family for a trip to London and I thought I'd take some pictures of the changing of the guards. Tourist David Meadwell shot this footage of the Changing of the Guard last week when the incident unfolded The moment it all started to go wrong: The guard leans heavily to the side as he appears to slip The unidentified young guard's legs appear to get a bit tangled as he tries to turn to march away The guard, wearing full regalia, falls heavily to the floor still clutching his rifle following the slip up 'The first group changed successfully, without any problems, and so I decided to video the next group doing it. 'I didn't expect anything like this to happen - he went flying. There were quite a few people around and there were a lot of gasps as he went down. 'I think he just slipped on a manhole cover, he looked so embarrassed.' The unnamed solider is thought to have slipped because of the metal protectors nailed to the soles of his boots. Tourists gather in their thousands to watch the changing of the guard outside Buckingham Palace at 11.30am every day in the summer and every other day in the winter. The Guard comprises two detachments, one each for Buckingham Palace and St James's Palace, under the command of the Captain of The Queen's Guard. Contrary to popular belief they are not purely ceremonial and are fully operational soldiers. The Ministry of Defence said they would not comment on 'a young man falling over while doing his job'. The embarrassed guard hastily scrambled to his feet following the unfortunate tumble at the palace The incident took place in front of hundreds of tourists who were watching the Changing of the Guard",Buckingham Palace guard slipped and fell in front of hundreds of tourists. Thought to have stumbled on manhole cover during Changing of the Guard. Embarrassed young soldier ended up on the floor still clutching his rifle. Unfortunately for him the entire incident was caught on tourist's camera.,buckingham palace guard slipped on manhole cover in front of hundreds of horrified tourists . the queen 's guard was left red-faced after he slipped on a manhole cover . he lost his footing and dropped his rifle on the side of the box and dropping his rifle . the incident was caught on camera camera camera . the guard is thought to have slipped because of metal shutters nailed to the soles of his boots .,M11,5.0,4.333333333333333,1.6666666666666667,3.3333333333333335,0.3758,0.17077,0.34516,0.3790322580645161,0.2298850574712644,0.1822742474916388,0.519435465335846,34.15378751576635,0.2842736168902793,0.5033617355832155,0.29240654776892383,0.05170590013957291,0.5520966102855637,0.62525279503435,0.09999742191503522,3,51
summeval,dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,"After Chelsea forward Eden Hazard had scored give his side a 1-0 lead against Manchester United at Stamford Bridge on Saturday, the Sky Sports punditry team were convinced that there had been a foul in the build-up. Chelsea captain John Terry had come in with a strong challenge from behind on United striker Radamel Falcao which sent the Colombian hurtling to the ground. Blues midfielder Cesc Fabregas then collected the loose ball and released it to Oscar before his back-heel sent it into the path of the oncoming Hazard to slot home. Chelsea defender John Terry comes in from behind with a strong challenge on Radamel Falcao Terry's challenge on Falcao came during the build-up to Eden Hazard's opening goal for Chelsea The Manchester United striker struggles to hold his grand and loses the ball to Terry near the half-way line Terry's strong challenge leads to a loose ball that is picked up by Cesc Fabregas to start of the scoring move Without taking anything away from the sublime spectacle of the goal, pundits Thierry Henry, Jamie Redknapp and Graeme Souness agreed during their half-time analysis that play should have been stopped for Terry's rough tackle on Falcao. Souness said, 'It's a decent forearm smash. I mean he does stick his elbow in the back of Falcao's head and that's a foul.' He added, 'If that elbow's not there he's not going down like that.' Former Arsenal captain Henry, meanwhile, felt sympathy for Falcao as a fellow striker. Asked if he would have wanted a foul in that position as a player, the Frenchman responded, 'Yes, all day long.' Finally, Redknapp admitted that while Falcao could have possibly done better to stay on his feet, Terry's challenge from behind shouldn't have gone unpunished. 'I think he could have been stronger, but it's still a foul.' Sky pundits Graeme Souness (left), Thierry Henry (centre) and Jamie Redknapp agree Terry fouled Falcao","Eden Hazard scored the opening goal for Chelsea against Manchester United. At the start of the preceding move, John Terry brought down Radamel Falcao. Sky Sports pundits agreed that play should have been stopped. Thierry Henry, Graeme Souness and Jamie Redknapp analysed at half-time.",eden hazard scored give his side a 1-0 lead against manchester united . sky sports punditry team were convinced that there had been a foul in the build-up . chelsea captain john terry had come in with a strong challenge from behind on united striker radamel falcao which sent the colombian hurtling to the ground .,M12,5.0,4.333333333333333,5.0,4.333333333333333,0.41111,0.13233,0.35926,0.4114921223354958,0.19299905392620623,0.19130434782608696,0.4601372480392456,30.78635419118961,0.31305295663588956,0.4314508678451784,0.35206616519894407,0.25209288186342915,0.4504290760047236,0.5305128171559113,0.1901290135229107,4,1518
summeval,dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,"The glowing blue letters that once lit the Bronx from above Yankee Stadium failed to find a buyer at an auction at Sotheby's on Wednesday. While the 13 letters were expected to bring in anywhere from $300,000 to $600,000, the only person who raised a paddle - for $260,000 - was a Sotheby's employee trying to jump start the bidding. The current owner of the signage is Yankee Hall of Famer Reggie Jackson, who purchased the 10-feet-tall letters for an undisclosed amount after the stadium saw its final game in 2008. No love: 13 letters that hung over Yankee Stadium were estimated to bring in anywhere from $300,000 to $600,000, but received no bids at a Sotheby's auction Wednesday The 68-year-old Yankee said he wanted 'a new generation to own and enjoy this icon of the Yankees and of New York City.' The letters had beamed from atop Yankee Stadium near Grand Concourse in the Bronx since 1976, the year before Jackson joined the team. ESPN reports Jackson, who attended the auction, bought the letters 'on a lark.' Jackson joked that once he saw the size of the letters, some of which are also 10-feet-wide, he realized he might have gotten ahead of himself. He promised before the auction that if the letters were bought by a bidder in the United States, he would fly out to see the signage himself at the winner's home. Yankee Stadium: The letters at the stadium, which was built in 1923, were installed in 1976 and taken down in 2008 In addition to the letters, Sotheby's was auctioning off a New York Mets bullpen car from the late 60s. Despite the Mets memorabilia being estimated at only $20,000 to $30,000, it raked in a winning bid of $112,500 at auction.","The Yankee Stadium signage was bought by Hall of Famer Reggie Jackson when the stadium was shuttered in 2008 for an undisclosed sum. Before the auction, Jackson had promised to fly out himself to see the letters at the winner's home.","no love : 13 letters that hung over yankee stadium were estimated to bring in anywhere from $ 300,000 to $ 600,000 , but received no bids at a sotheby 's auction wednesday . while the 13 letters were expected to bring in anywhere from $ 300,000 to $ 600,000 , the only person who raised a paddle - for $ 260,000 - was a sotheby 's employee trying to jump start the bidding . the current owner of the signage is yankee hall of famer reggie jackson , who purchased the 10-feet-tall letters for an undisclosed amount after the stadium saw its final game in 2008 .",M1,5.0,4.333333333333333,5.0,2.6666666666666665,0.37745,0.12174,0.31127,0.3799019607843137,0.18385093167701866,0.163727959697733,0.551850438117981,30.976669002821204,0.29941070568669415,0.5035236637997292,0.32835271095730256,0.002175459223712513,0.5553527144995436,0.594848664650273,0.2599611910675712,5,563
summeval,dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,"A video of a menacing crocodile swimming through a public marina with a dead pet dog locked in between its jaws has been viewed more than half a million times online. The clip shows a large croc calmly moving through the marina in the tourist hotspot of Puerto Vallarta, in Mexico, with a black dog wearing a red collar lifeless in its mouth. New Zealander Tim Weston was on holiday in Puerto Vallarta with his wife when the attack happened and described how 'the crocodile kept the dog in its mouth for ages, not moving at all'. Mr Weston told Daily Mail Australia the dog belonged to the local bike shop's owner. Scroll down for video The large croc proudly held on to its catch for hours as it lurked around the Puerto Vallarta marina, in Mexico 'There's a sanctuary for these crocodiles up the river (200m away) which runs out to the sea and the marina,' Mr Weston explained. 'The dog went to the water's edge to see the crocodile (being curious I guess) but things didn't go according to plan obviously. 'It was certainly a shock to the system. Guess that's nature though,' he said. In the video the beast glides through the water, with rocks on one side and a footpath on the other, as crowds gasp in amazement. New Zealander Tim Weston was on holiday in Puerto Vallarta with his wife when he saw the alarming sight Tourist Tim Weston took a photo of the crocodile with the dog between its jaws A video of the crocodile swimming through the marina with the bike shop owner's dog has been viewed more than 500,000 times Mr Weston said: 'A couple of hours later we walked back past and there was still a crowd... But we didn't want to look at it again as we had just eaten. Yesterday morning there was no sign of either.' Social media users have reacted in horror to the video that was posted on the Bogged Facebook page. One woman  called the video 'horrible' and another said 'I hate crocodiles now'. But crocodiles are a common site in Puerto Vallarta as the Mexican beach resort is built amongst the mangroves that the creatures have called home for centuries. As well as living in the nearby sanctuary, crocs are regularly spotted on the resort's golf course. In Mexico the 'American Crocodiles' can reach lengths of 6 meters and as a result of urbanisation are living closer to humans than ever before. One social media user called the video 'horrible' and another said 'I hate crocodiles now'","A local bike shop owner's dog was snatched by a crocodile. The crocodile was swimming through Puerto Vallarta marina, in Mexico. New Zealander Tim Weston was on holiday and saw the bizarre sight. A video of the dog in the croc's jaws has been viewed half a million times.",A crocodile was seen swimming through a public marina with a dead dog in between its jaws.,M20,5.0,4.0,5.0,4.666666666666667,0.30688,0.11743,0.28572,0.3068783068783069,0.1944954128440367,0.16443594646271512,0.4826003909111023,36.897895120699935,0.1724846537107967,0.2981371035740702,0.30045451079959096,0.1475603269347724,0.1834674271717739,0.36111495011678396,0.10135465313227855,6,501
summeval,dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,"Radamel Falcao's former Monaco team-mate Nabil Dirar believes the Colombian must be regretting his failed loan move to Manchester United even though he was not happy in France. The former Atletico Madrid striker moved to Old Trafford on a season-long loan  last summer but has struggled to hit the heights he achieved before suffering a serious knee injury. United will have to pay £46million to make Falcao's transfer permanent but having only scored four goals all season Louis van Gaal's side are unlikely to take up that option. Radamel Falcao has struggled for Manchester United during his season-long loan Falcao has struggled to reach the heights he achieved before suffering a serious knee injury And Dirar has revealed that Falcao was not happy in France but thinks he would have been better off staying at Monaco. 'I think Falcao must be biting his fingers [ruing the fact] he's gone,' he told Le Parisien. 'Here, he would have played and participated in the Champions League. But he may need more atmosphere. 'In Monaco, he was not feeling well.'",Radamel Falcao joined Manchester United on on loan last summer. Striker has only managed four goals in a disappointing season. Nabil Dirar said he would have been better off saying at Monaco.,radamel falcao has struggled for manchester united . former atletico madrid striker moved to old trafford on a season-long loan . nabil dirar believes colombian must be regretting his failed loan move . falcao struggled to reach the heights he achieved before suffering a serious knee injury . united will have to pay # 46million to make falcao 's transfer permanent .,M9,5.0,3.6666666666666665,5.0,3.0,0.375,0.14048,0.3442,0.37670609645131936,0.20241411327762301,0.12890995260663507,0.49365541338920593,20.375802994387005,0.2525655719379992,0.43071206371605286,0.29366873887740697,0.1309988561083127,0.4455840637261572,0.5346023399181195,0.10520701139672292,7,457
summeval,dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,"River Plate are keen to sign Manchester United striker Radamel Falcao but admit a deal is complicated. The Colombia forward spent eight years with the Argentine side before leaving for Porto in 2009 and River Plate are open to Falcao returning. During an interview with Esto es River program, vice president Matias Patanian said: 'We dream of Falcao Garcia. The doors are open.' River Plate are keen to sign former forward Radamel Falcao who has struggled on loan at Manchester United River Plate vice president Matias Patanian admits the club 'dream of Falcao' and that 'the doors are open' The 29-year-old has struggled during a season-long loan spell at Old Trafford this term - scoring just four Premier League goals - and it remains to be seen whether United will exercise the option to keep the frontman or whether he will return to parent club Monaco. However, Falcao has been in good goalscoring form for his countrythis week, finding the net three times in two games to equal Colombia’s all-time goalscoring record with 24 goals. Joining River Plate at the age of 15 in 2001 before making his first-team debut four years later, Falcao went on to score 34 goals in 90 appearances for the Primera Division club. Falcao scored 34 goals in 90 appearances for the Argentine club during his four seasons in the first team",River Plate admit they 'dream' of Manchester United striker Radamel Falcao. The Colombia international spent eight years with the Argentine club. Falcao has managed just four goals in 19 Premier League appearances.,radamel falcao has been in good goalscoring form for manchester united . the 29-year-old has struggled in a season-long loan at manchester united . the frontman has been scoring just four premier league goals .,M8,2.3333333333333335,1.3333333333333333,5.0,1.3333333333333333,0.26615,0.08511,0.24031,0.2794307891332471,0.12250332889480693,0.06310013717421126,0.46333372592926025,17.754923072004463,0.19437900446997824,0.3362660642236702,0.24381845259852275,0.26019119993540896,0.1940214773745048,0.3715086912454266,0.12387909371535878,8,285
summeval,dm-test-fadabe346fe95d33eee71299e6596754768f5246,"A 23-year-old mother-of-two is at risk of being banned from seeing her own children - because she refuses to stop drinking and partying. The woman, named only as Gemma, has two children under five by two different fathers and handed both infants over to her 52-year-old mother Debbie when they were four months old. Now Debbie is threatening to ban Gemma from seeing the children at all, after discovering her daughter's penchant for legal high, MKat, and because she suspects her of stealing. Scroll down for video Feckless: 23-year-old Gemma faces being prevented from seeing her children by her own mother 'I love them,' says Debbie of the two children. 'She [Gemma] isn't fit enough to have them. She doesn't care.' Debbie, who stepped in to care for the children after social services threatened to take them away, says her daughter's constant drinking and partying is getting out of hand. She also claims that Gemma, who is unemployed, stole an iPad from one of the children and sold it to fund her party lifestyle. Although Gemma says she did not steal the device, she admits to stealing money and other items from her mother in the past. 'From around the age of 13, she went off the rails,' says Debbie. 'She was drinking beer and having underage sex. Upset: Debbie reacts after hearing the results of Gemma's lie detector test - which revealed she did steal Furious: Debbie, who has looked after Gemma's children all their lives, says she will ban her from the house 'With the children, she was excited about being pregnant but gave up about four months after having them and then dumped the babies on me.' As a result, Debbie, who appeared alongside her daughter on The Jeremy Kyle Show, has been left to bring both children up alone. Now at the end of her tether, Debbie says she is preparing to ban Gemma from her home and from seeing the children - because she can't trust her not pinch their possessions. Upset: According to her mother, Gemma prefers drinking and parties to work and motherhood 'I don't know how you could do that to your own kid,' adds Debbie, who also revealed that Gemma's children call her mum and not grandma. 'She doesn't care. She doesn't care at all and I feel awful about it because at the end of the day, they're my grandchildren and I love them. 'She's missed out from day one. She doesn't put them first. She knows she needs to grow up and stop drinking and taking drugs and partying.'","Gemma, 23, has left her children to be raised by her mother. Handed them to her 52-year-old parent when they were four months old. Spends her time partying and has 'missed out' on seeing them grow up. Is now at risk of being banned from seeing them thanks to feckless ways. Mother Debbie also says the unemployed 23-year-old has stolen from them.","Gemma , 23 , has two children under five by two different fathers . Handed both infants over to her 52-year-old mother Debbie when they were four months old . Now Debbie is threatening to ban Gemma from seeing the children at all . Says her daughter 's constant drinking and partying is getting out of hand .",M22,5.0,4.666666666666667,5.0,3.3333333333333335,0.38034,0.09471,0.33121,0.39233576642335766,0.21042830540037244,0.21102661596958178,0.5130423307418823,37.91659217370079,0.2142388359976522,0.43585060994580166,0.328099633772048,0.2186409635544639,0.3724587585636687,0.4534235909281745,0.11496186199254022,9,1508
summeval,cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,"Rome (CNN)Italy is coping with a rising wave of desperate migrants from Africa and Middle East hoping to make it to Europe. From Friday to Monday, a total of 8,480 migrants were rescued, according to the Italian coast guard, which said it received on Monday -- alone -- SOS calls from 20 boats in distress. On Tuesday, a spokesman with Save the Children told CNN the group fears 400 migrants could be missing, citing testimony from survivors who said their ship carrying 550 people capsized in the Mediterranean Sea about 80 miles off the Libyan coast. The Italian coast guard, however, told CNN that while it is taking the report seriously, it cannot confirm such an incident and has not yet found evidence at sea to indicate a migrant boat carrying approximately 550 has capsized with 145 rescued. An operation that included boats and planes did not find any survivors, nor bodies, nor any evidence to indicate a particular boat capsized, Coast Guard official Filippo Marini said. There has been a recent upsurge in migrant boats crossing the Mediterranean into Italy and an increase in rescues performed by the Italian Coast Guard to aid migrant boats. Why migrants are dying trying to reach Italy According to the International Organization for Migration, Italy registered more than 10,000 migrants arriving in the first three months of 2015, and about 2,000 were rescued at sea during the first weekend of April in the Channel of Sicily. Most migrants recorded this year come from countries in West Africa as well as Somalia and Syria, the IOM said. They use Libya as a country of transit. At least 480 migrants have died while crossing the Mediterranean since the beginning of the year, often because of bad weather and overcrowded vessels used by smugglers, the IOM said. Sometimes the captains and crews abandon the ships, leaving passengers to fend for themselves. Last week: 978 migrants rescued in one day in Mediterranean Sea CNN's Ralph Ellis contributed to this report.","The Italian coast guard says 8,480 migrants were rescued from Friday to Monday. Save the Children said Tuesday 400 migrants could be missing from a boat. The Italian coast guard cannot confirm that report.","italy is coping with a rising wave of desperate migrants from africa and middle east hoping to make it to europe . from friday to monday , a total of 8,480 migrants were rescued , according to the italian coast guard , which said it received on monday -- alone -- sos calls from 20 boats in distress . on tuesday , a spokesman with save the children told cnn the group fears 400 migrants could be missing .",M12,5.0,4.666666666666667,5.0,4.333333333333333,0.31032,0.0943,0.2762,0.33170731707317075,0.16887417218543047,0.13996627318718383,0.4952643811702728,28.277799897096266,0.3080214661738199,0.4809934150973987,0.24559914944852956,0.015985912478348775,0.3306486939544493,0.4382394015561625,0.1441213228384798,10,209
